NI VB-8012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Name,Serial Number,Firmware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VB8012-308D465,308D465,16.1.0f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIGITAL MULTIMETER,,,,,,DIGITAL I/O,,,,,,,,,
Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Configuration,,,,,,Configuration,,,,,,,,,
,Analog,,,,,,,,,,,Math,,,,,,,,,Trigger,,,,,,,,,Acquisition,,,,Analog,,,,,,Digital,,,,,,,,
,,Name,Alias,Channel Coupling,Bandwidth Limit,Input Impedance,Probe Attenuation,Volts Per Division,Vertical Offset (V),ΔT (ns),,,Name,Alias,Math Operation,Source A,Source B,ΔT (ns),Units,,,Type,Delay (s),Reason,Edge,Source,Level (V),Hysteresis,,,Mode,,,,Name,Measurement Mode,Null Offset,,,,Name,Direction,,,,,,
,,1,1,DC,Full Bandwidth,1 MΩ,1X,1 V/,-0.576132,20000,,,Math,Arithmetic,A - B,1,2,20000,V,,,Edge,0,Triggered,Rising,1,1,Minimum,,,Peak Detect,,,,DMM,DC Current,Off,,,,0,Input,,,,,,
,,2,2,DC,Full Bandwidth,1 MΩ,1X,2 V/,0,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Input,,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIGITAL MULTIMETER,,,,,,DIGITAL I/O,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data,,,,,,Data,,,,,,,,,
,Analog,,,,,,,Math,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,,,,,,Digital,,,,,,,,
,,Timestamps (ns),1 Min,1 Max,2 Min,2 Max,,,Timestamps (ns),Arithmetic Min,Arithmetic Max,,,,,,,,,,,,,,,,,,,,,,,,DMM,,,,,,0,1,2,3,4,5,6,7
,,-10000000,2.962962963,3.04526749,4.691358025,4.855967078,,,-10000000,-1.728395062,-1.810699588,,,,,,,,,,,,,,,,,,,,,,,,6.44E-05,,,,,,0,0,0,0,0,0,0,0
,,-9980000,2.962962963,3.04526749,4.773662551,4.938271605,,,-9980000,-1.810699588,-1.893004115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9960000,2.962962963,3.086419753,4.773662551,4.938271605,,,-9960000,-1.810699588,-1.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9940000,3.004115226,3.086419753,4.773662551,4.938271605,,,-9940000,-1.769547325,-1.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9920000,2.962962963,3.04526749,4.855967078,4.938271605,,,-9920000,-1.893004115,-1.893004115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9900000,2.962962963,3.086419753,4.773662551,4.938271605,,,-9900000,-1.810699588,-1.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9880000,2.962962963,3.04526749,4.773662551,4.938271605,,,-9880000,-1.810699588,-1.893004115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9860000,2.962962963,3.04526749,4.773662551,4.938271605,,,-9860000,-1.810699588,-1.893004115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9840000,2.962962963,3.04526749,4.773662551,4.938271605,,,-9840000,-1.810699588,-1.893004115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9820000,2.962962963,3.04526749,4.691358025,4.855967078,,,-9820000,-1.728395062,-1.810699588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9800000,2.962962963,3.04526749,4.609053498,4.773662551,,,-9800000,-1.646090535,-1.728395062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9780000,2.962962963,3.04526749,4.609053498,4.773662551,,,-9780000,-1.646090535,-1.728395062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9760000,2.962962963,3.04526749,4.526748971,4.691358025,,,-9760000,-1.563786008,-1.646090535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9740000,2.962962963,3.04526749,4.444444444,4.609053498,,,-9740000,-1.481481481,-1.563786008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9720000,2.962962963,3.04526749,4.279835391,4.526748971,,,-9720000,-1.316872428,-1.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9700000,2.962962963,3.004115226,4.197530864,4.444444444,,,-9700000,-1.234567901,-1.440329218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9680000,2.9218107,3.004115226,4.115226337,4.279835391,,,-9680000,-1.193415638,-1.275720165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9660000,2.9218107,3.004115226,3.950617284,4.197530864,,,-9660000,-1.028806584,-1.193415638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9640000,2.9218107,3.004115226,3.78600823,4.032921811,,,-9640000,-0.864197531,-1.028806584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9620000,2.880658436,3.004115226,3.621399177,3.950617284,,,-9620000,-0.740740741,-0.946502058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9600000,2.880658436,2.962962963,3.53909465,3.78600823,,,-9600000,-0.658436214,-0.823045267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9580000,2.839506173,2.962962963,3.374485597,3.621399177,,,-9580000,-0.534979424,-0.658436214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9560000,2.798353909,2.9218107,3.127572016,3.456790123,,,-9560000,-0.329218107,-0.534979424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9540000,2.674897119,2.839506173,2.962962963,3.29218107,,,-9540000,-0.288065844,-0.452674897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9520000,2.510288066,2.716049383,2.798353909,3.04526749,,,-9520000,-0.288065844,-0.329218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9500000,2.386831276,2.551440329,2.551440329,2.880658436,,,-9500000,-0.164609053,-0.329218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9480000,2.263374486,2.427983539,2.386831276,2.716049383,,,-9480000,-0.12345679,-0.288065844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9460000,2.139917695,2.304526749,2.222222222,2.551440329,,,-9460000,-0.082304527,-0.24691358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9440000,2.016460905,2.181069959,1.975308642,2.304526749,,,-9440000,0.041152263,-0.12345679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9420000,1.893004115,2.057613169,1.728395062,2.057613169,,,-9420000,0.164609053,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9400000,1.769547325,1.934156379,1.563786008,1.810699588,,,-9400000,0.205761317,0.12345679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9380000,1.646090535,1.810699588,1.316872428,1.646090535,,,-9380000,0.329218107,0.164609053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9360000,1.563786008,1.728395062,1.069958848,1.399176955,,,-9360000,0.49382716,0.329218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9340000,1.440329218,1.604938272,0.823045267,1.152263374,,,-9340000,0.617283951,0.452674897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9320000,1.358024691,1.481481481,0.658436214,0.905349794,,,-9320000,0.699588477,0.576131687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9300000,1.234567901,1.399176955,0.329218107,0.740740741,,,-9300000,0.905349794,0.658436214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9280000,1.152263374,1.275720165,0.164609053,0.49382716,,,-9280000,0.987654321,0.781893004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9260000,1.028806584,1.193415638,-0.082304527,0.24691358,,,-9260000,1.111111111,0.946502058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9240000,0.946502058,1.111111111,-0.329218107,0,,,-9240000,1.275720165,1.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9220000,0.864197531,0.987654321,-0.576131687,-0.24691358,,,-9220000,1.440329218,1.234567901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9200000,0.781893004,0.905349794,-0.823045267,-0.49382716,,,-9200000,1.604938272,1.399176955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9180000,0.699588477,0.823045267,-0.987654321,-0.740740741,,,-9180000,1.687242798,1.563786008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9160000,0.617283951,0.740740741,-1.234567901,-0.905349794,,,-9160000,1.851851852,1.646090535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9140000,0.534979424,0.658436214,-1.481481481,-1.152263374,,,-9140000,2.016460905,1.810699588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9120000,0.411522634,0.576131687,-1.728395062,-1.399176955,,,-9120000,2.139917695,1.975308642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9100000,0.37037037,0.49382716,-1.893004115,-1.646090535,,,-9100000,2.263374486,2.139917695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9080000,0.288065844,0.411522634,-2.139917695,-1.810699588,,,-9080000,2.427983539,2.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9060000,0.205761317,0.329218107,-2.386831276,-2.057613169,,,-9060000,2.592592593,2.386831276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9040000,0.082304527,0.24691358,-2.551440329,-2.304526749,,,-9040000,2.633744856,2.551440329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9020000,0.041152263,0.164609053,-2.716049383,-2.469135802,,,-9020000,2.757201646,2.633744856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9000000,-0.082304527,0.082304527,-2.962962963,-2.633744856,,,-9000000,2.880658436,2.716049383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8980000,-0.205761317,-0.041152263,-3.127572016,-2.880658436,,,-8980000,2.9218107,2.839506173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8960000,-0.411522634,-0.164609053,-3.29218107,-3.04526749,,,-8960000,2.880658436,2.880658436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8940000,-0.534979424,-0.329218107,-3.456790123,-3.209876543,,,-8940000,2.9218107,2.880658436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8920000,-0.699588477,-0.49382716,-3.621399177,-3.374485597,,,-8920000,2.9218107,2.880658436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8900000,-0.823045267,-0.658436214,-3.78600823,-3.53909465,,,-8900000,2.962962963,2.880658436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8880000,-0.987654321,-0.781893004,-3.950617284,-3.703703704,,,-8880000,2.962962963,2.9218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8860000,-1.111111111,-0.905349794,-4.115226337,-3.868312757,,,-8860000,3.004115226,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8840000,-1.234567901,-1.069958848,-4.197530864,-4.032921811,,,-8840000,2.962962963,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8820000,-1.316872428,-1.152263374,-4.362139918,-4.115226337,,,-8820000,3.04526749,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8800000,-1.440329218,-1.275720165,-4.444444444,-4.197530864,,,-8800000,3.004115226,2.9218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8780000,-1.522633745,-1.358024691,-4.526748971,-4.362139918,,,-8780000,3.004115226,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8760000,-1.604938272,-1.440329218,-4.609053498,-4.444444444,,,-8760000,3.004115226,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8740000,-1.646090535,-1.522633745,-4.691358025,-4.526748971,,,-8740000,3.04526749,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8720000,-1.728395062,-1.604938272,-4.773662551,-4.609053498,,,-8720000,3.04526749,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8700000,-1.769547325,-1.646090535,-4.855967078,-4.691358025,,,-8700000,3.086419753,3.04526749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8680000,-1.810699588,-1.728395062,-4.855967078,-4.691358025,,,-8680000,3.04526749,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8660000,-1.851851852,-1.769547325,-4.855967078,-4.773662551,,,-8660000,3.004115226,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8640000,-1.851851852,-1.769547325,-4.938271605,-4.773662551,,,-8640000,3.086419753,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8620000,-1.851851852,-1.810699588,-4.938271605,-4.773662551,,,-8620000,3.086419753,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8600000,-1.893004115,-1.810699588,-4.938271605,-4.773662551,,,-8600000,3.04526749,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8580000,-1.893004115,-1.810699588,-4.938271605,-4.773662551,,,-8580000,3.04526749,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8560000,-1.851851852,-1.810699588,-4.938271605,-4.773662551,,,-8560000,3.086419753,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8540000,-1.851851852,-1.769547325,-4.938271605,-4.773662551,,,-8540000,3.086419753,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8520000,-1.810699588,-1.728395062,-4.938271605,-4.773662551,,,-8520000,3.127572016,3.04526749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8500000,-1.810699588,-1.687242798,-4.855967078,-4.691358025,,,-8500000,3.04526749,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8480000,-1.769547325,-1.646090535,-4.855967078,-4.691358025,,,-8480000,3.086419753,3.04526749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
